country,country_code,region,income_group,year,population_total,population_female,population_male,population_growth_pct,urban_population_pct,fertility_rate,age_dependency_ratio_pct,gdp_current_usd,gdp_per_capita_usd,gdp_growth_pct,gdp_per_capita_ppp,inflation_consumer_pct,investment_gdp_pct,unemployment_total_pct,unemployment_female_pct,unemployment_male_pct,employment_total_pct,labor_force_participation_pct,life_expectancy_total,life_expectancy_female,life_expectancy_male,infant_mortality_rate,school_enrollment_tertiary_pct,internet_users_pct,mobile_subscriptions_per_100,co2_per_capita,renewable_energy_pct,exports_gdp_pct,imports_gdp_pct
Benin,BEN,Sub-Saharan Africa ,Lower middle income,2019,12726755.0,6354457.0,6372298.0,2.73538842831436,48.7125500590248,4.9,84.8779371019408,14391686313.4641,1130.82135339795,6.86568662848335,3148.97969597838,0.732849371241066,25.1732556309975,1.214,1.338,1.091,74.183,75.095,59.888,61.069,58.694,51.8,10.3906803131103,20.50099945,81.3235345537806,0.639872457668903,46.5,29.6305271935478,34.0508051206822
Bermuda,BMU,North America,High income,2019,64107.0,32503.0,31604.0,0.431459657274573,100.0,1.383,48.9232699142797,7423465000.0,115798.040775578,0.307106461240664,90984.4576708318,,14.7485170334877,,,,,,81.251,85.033,77.607,,,,104.512767716474,4.71867346779603,0.8,51.7434243981752,25.816677252469
Bhutan,BTN,South Asia,Lower middle income,2019,764824.0,353962.0,410862.0,0.66444642692507,39.0746823405146,1.448,43.0441182246478,2735683570.46155,3576.87987100503,5.75514851246506,12909.1009840399,2.72643037388832,45.7996795632774,2.72,3.329,2.282,64.559,66.364,72.005,73.898,70.427,17.9,15.9420291550317,74.17939758,95.3472955869586,2.36171982050772,81.0,31.4575032617598,44.6660134423907
Bolivia,BOL,Latin America & Caribbean ,Lower middle income,2019,11671386.0,5797447.0,5873939.0,1.40657823805422,69.7334986708387,2.688,58.713758032825,49056643589.0014,4203.15492855788,1.50672102666863,11005.3541169156,1.83954504969026,22.9142053369823,3.682,3.992,3.432,71.428,74.158,67.82,70.266,65.537,18.4,,47.4748191121692,100.14945954148,1.88492609189688,13.5,20.0474399352249,25.7735333396775
Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,2019,3345533.0,1755046.0,1590487.0,-1.23185506471358,49.4650440037758,1.509,49.9919523868234,20482608984.3316,6122.37541352353,2.88585242083978,16428.7132755213,0.56278215406123,23.0639215176452,15.692,18.67,13.57,41.139,48.796,77.394,80.463,73.961,5.9,46.6677894592285,69.9463476317266,112.254788698841,6.75452909895075,36.8,40.040069270151,54.476055884095
Botswana,BWA,Sub-Saharan Africa ,Upper middle income,2019,2332083.0,1168812.0,1163271.0,1.42262847077389,66.3271694845464,2.906,59.0212359437936,16725908148.5481,7172.08956480028,3.0317733945467,15960.0156143903,2.77286442863321,28.8496651227091,20.094,22.01,18.457,50.724,63.48,67.167,69.585,64.775,37.4,21.4965480211896,48.82279968,160.661520194607,3.14825844534693,26.2,37.0878176552067,46.0051637049108
Brazil,BRA,Latin America & Caribbean ,Upper middle income,2019,207455459.0,105174727.0,102280732.0,0.651994346081362,86.6797991084296,1.705,43.5397483001089,1873288205059.69,9029.83326681073,1.22077782360842,16069.8380152627,3.73297621216894,15.4711697448233,11.936,14.35,10.07,57.142,64.887,75.809,79.023,72.653,12.9,53.6215400695801,73.9124399133589,97.3747376780285,2.25869881785082,47.5,14.1229191913178,14.7673386785785
British Virgin Islands,VGB,Latin America & Caribbean ,High income,2019,36395.0,19235.0,17160.0,4.8931677135622,52.3907871425786,0.941,34.3484680693983,,,,,,,,,,,,76.845,79.646,74.137,13.0,24.2532322781988,,108.624811100426,2.40142876768787,1.2,,
Brunei Darussalam,BRN,East Asia & Pacific,High income,2019,442680.0,207287.0,235393.0,1.10621350885567,74.7923311783673,1.819,37.4287523749208,13469235364.7032,30426.5730656528,3.86884436177075,69353.6799514849,-0.390522069165529,38.5070273900823,6.6,7.913,5.742,60.517,64.793,75.049,77.286,73.068,9.0,27.7715019255456,95.0,129.845260684919,17.1760639739767,0.0,57.946040538108,50.5636178198506
Bulgaria,BGR,Europe & Central Asia,High income,2019,6616726.0,3408148.0,3208578.0,-1.41171852077109,73.7162322998047,1.79,55.9246760959011,68511235459.4907,10354.2500414088,3.79331964589196,26765.556194772,3.10372944796771,18.7188384588386,4.148,3.793,4.453,54.309,56.659,75.1121951219512,78.8,71.6,5.5,84.7503128051758,67.9469809417603,116.616975862125,6.74590424327681,19.3,64.300587723502,60.9598273515844
